cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
3-Methyl-2-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,415.15
2-Methyl-3-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,401.05
"2,3,4-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon,386.55
"2,3,4-Trimethyl-2-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon,389.15
"3,4-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,390.85
3-Pentanol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol,396.15
"1,2-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol,469.1
"2,3-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,388.75
3-Methylhexane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon,364.15
3-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,426
"2,4-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,382.55
4-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon,390.85
4-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,434.15
4-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol,448.15
3-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon,392.05
3-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,427.15972
3-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol,457.15
"1,2-Butadiene",54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon,284.15
"2,2-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon,352.35
2-Methylpentan-2-ol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,394.15
"2,2-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,379.95
2-Methylhexane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon,363.15
"1,4-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon,299.05
"1,2-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon,317.15
"2,5-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,382.25
2-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon,390.75
1-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon,336.55
"1,5-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon,332.35
"Hexa-1,4-diene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon,338.15
3-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon,340.21
"Hexa-1,3-diene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon,337.72
1-Heptene,98.19,0,7,0,7,0,0,0,1,0,Hydrocarbon,367.15
Oct-4-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon,395.55
Octadecane,254.5,0,18,0,18,0,0,0,0,0,Hydrocarbon,589.15
Heptacosane,380.7,0,27,0,27,0,0,0,0,0,Hydrocarbon,715.15
Vinylamine,43.07,26,3,1,2,1,0,0,1,0,Amine,314.57
"2,3,3-Trimethyl-1-butene",98.19,0,7,0,7,0,0,3,1,0,Hydrocarbon,350.95
"2,3-Dimethyl-2-butanol",102.17,20.2,7,1,6,0,1,3,0,0,Alcohol,391.85
"2,2,3,3-Tetramethylbutane",114.23,0,8,0,8,0,0,4,0,0,Hydrocarbon,379.47
"2,3,3-Trimethyl-2-butanol",116.2,20.2,8,1,7,0,1,4,0,0,Alcohol,401.45
"2,3-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol,413.15
3-Ethyl-3-pentanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,415.15
3-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,420.15
3-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,439.15
"3-Methyl-1,2-butadiene",68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon,313.95
3-Buten-2-OL,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol,370.15
"N,N-Dimethylethylamine",73.14,3.2,5,1,4,1,0,1,0,0,Amine,309.65
"1,2-Dimethylpropylamine",87.16,26,6,1,5,1,0,2,0,0,Amine,354.15
3-Methyl-2-butanol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol,385.15
"2,4-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol,415.15
Galactitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol,888.2
3-Ethyl-2-methylpentane,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,388.75
4-Methylhexan-3-ol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,422.65
1-Penten-3-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,391.15
"N,N-Diethylmethylamine",87.16,3.2,6,1,5,1,0,1,0,0,Amine,339.05
2-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,414.15
3-Ethylpentane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon,366.55
2-Ethylbutylamine,101.19,26,7,1,6,1,0,1,0,0,Amine,398.15
3-Ethylhexane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon,391.65
"2,2-Diethoxyethanol",134.17,38.7,9,3,6,0,3,1,0,0,Alcohol,440.15
Triamylamine,227.43,3.2,16,1,15,1,0,1,0,0,Amine,515.65
3-Hexanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,407
5-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,420.15
"1,3-Dimethoxy-2-propanol",120.15,38.7,8,3,5,0,3,1,0,0,Alcohol,442.15
5-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol,468.15
3-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol,467.9
beta-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon,274.03
"3,3-Dimethyl-1-butanol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,416.15
"2,4-Dimethyl-2-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol,406.15
2-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,415.15
2-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,446.15
