cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
"3-Methyl-1,5-hexadiene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
2-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon
"4,4-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
3-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
"2,3-Dimethyl-2-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
Trinonylamine,395.7,3.2,28,1,27,1,0,1,0,0,Amine
4-Propyl-4-heptanol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
5-Methyl-1-hexyne,96.17,0,7,0,7,0,0,1,0,1,Hydrocarbon
5-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon
"2,6-Dimethylocta-2,6-diene",138.25,0,10,0,10,0,0,2,2,0,Hydrocarbon
"2,4,6-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"2,4-Hexadiyne",78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon
"1,2,3-Butatriene",52.07,0,4,0,4,0,0,0,3,0,Hydrocarbon
2-Methyl-1-nonene,140.27,0,10,0,10,0,0,1,1,0,Hydrocarbon
"2,2,4,10,12,12-Hexamethyl-7-(3,5,5-trimethylhexyl)tridecane",394.8,0,28,0,28,0,0,10,0,0,Hydrocarbon
"2,3-Dimethyl-2-heptene",126.24,0,9,0,9,0,0,2,1,0,Hydrocarbon
"1,3,5-Hexatriyne",74.08,0,6,0,6,0,0,0,0,3,Hydrocarbon
4-Propylheptane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
2-Methyl-2-decanol,172.31,20.2,12,1,11,0,1,2,0,0,Alcohol
"3,3-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,3-Divinylbutadiene",106.16,0,8,0,8,0,0,2,4,0,Hydrocarbon
6-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
"3,3-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,4-Dimethyl-1,4-pentadiene",96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
"1,3-Hexadiyne",78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon
4-Propyl-3-heptene,140.27,0,10,0,10,0,0,1,1,0,Hydrocarbon
4-Methylhept-3-ene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"1,3-Pentadiyne",64.08,0,5,0,5,0,0,0,0,2,Hydrocarbon
"Octa-2,6-diene",110.2,0,8,0,8,0,0,0,2,0,Hydrocarbon
3-Ethyl-3-methyl-1-pentene,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"N,N-Dipropyl-2-propyn-1-amine",139.24,3.2,10,1,9,1,0,1,0,1,Amine
(6E)-6-Tridecene,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon
"3,7,11-Trimethyl-1-dodecanol",228.41,20.2,16,1,15,0,1,3,0,0,Alcohol
3-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
6-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
6-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
4-Methyl-1-pentyne,82.14,0,6,0,6,0,0,1,0,1,Hydrocarbon
"6-Methyl-1,5-heptadiene",110.2,0,8,0,8,0,0,1,2,0,Hydrocarbon
"4-Allyl-1,6-heptadien-4-ol",152.23,20.2,11,1,10,0,1,2,3,0,Alcohol
3-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"1,4-Hexadiyne",78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon
"3-(Decyloxy)-1,2-propanediol",232.36,49.7,16,3,13,0,3,1,0,0,Alcohol
"1,2,4-Pentatriene",66.1,0,5,0,5,0,0,0,3,0,Hydrocarbon
"2,6-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"4-Methyl-1,2-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
"1,10-Undecadiene",152.28,0,11,0,11,0,0,0,2,0,Hydrocarbon
"2,2,4,4-Tetramethylpentan-3-ol",144.25,20.2,10,1,9,0,1,5,0,0,Alcohol
"2,3,4-Pentanetriol",120.15,60.7,8,3,5,0,3,3,0,0,Alcohol
3-Ethyl-2-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"Octa-2,4,6-triene",108.18,0,8,0,8,0,0,0,3,0,Hydrocarbon
"2,5-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"3,5-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"4,5-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,3-Diethyl-1,3-butadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
"3,5-Octadiyne",106.16,0,8,0,8,0,0,0,0,2,Hydrocarbon
"3,4-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"3,3-Diethoxy-1-propanol",148.2,38.7,10,3,7,0,3,1,0,0,Alcohol
3-Ethyl-3-hexene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
2-Methyl-2-octene,126.24,0,9,0,9,0,0,1,1,0,Hydrocarbon
3-Ethyl-3-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
Di-t-butylacetylene,138.25,0,10,0,10,0,0,4,0,1,Hydrocarbon
"Hepta-1,3,5-triene",94.15,0,7,0,7,0,0,0,3,0,Hydrocarbon
2-Methyl-1-tridecene,196.37,0,14,0,14,0,0,1,1,0,Hydrocarbon
"2,3-Butadien-1-ol",70.09,20.2,5,1,4,0,1,0,2,0,Alcohol
Dec-3-ene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
2-Nonyne,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon
"2,2-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"2,4-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"3,5-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"3,4-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
"2,9-Dimethyl-5-decyne",166.3,0,12,0,12,0,0,2,0,1,Hydrocarbon
5-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
6-Ethyl-3-decanol,186.33,20.2,13,1,12,0,1,2,0,0,Alcohol
4-Ethyl-3-hexanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
3-Ethyl-2-methyl-1-heptene,140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
2-Methyl-3-ethyl-2-heptene,140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
2-Methyl-3-ethyl-2-pentene,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,4-Hexanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"2,7-Dimethyl-2,7-octanediol",174.28,40.5,12,2,10,0,2,4,0,0,Alcohol
"2,3-Dimethyl-2-octene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
6-Ethyl-3-octanol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
"2,4-Dimethyl-4-penten-2-ol",114.19,20.2,8,1,7,0,1,3,1,0,Alcohol
3-Nonyne,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon
4-Nonyne,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon
4-Methyl-2-hexyne,96.17,0,7,0,7,0,0,1,0,1,Hydrocarbon
"2,3,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3,3,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
Tetravinylmethane,120.19,0,9,0,9,0,0,2,4,0,Hydrocarbon
2-Octyn-1-ol,126.2,20.2,9,1,8,0,1,0,0,1,Alcohol
"2,4-Heptanediol",132.2,40.5,9,2,7,0,2,2,0,0,Alcohol
4-Methyl-2-pentyne,82.14,0,6,0,6,0,0,1,0,1,Hydrocarbon
4-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
"2,11-Dimethyl-2,11-dodecanediol",230.39,40.5,16,2,14,0,2,4,0,0,Alcohol
"2,3,3-Trimethyl-2-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
4-Methyl-4-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"Penta-1,4-diyne",64.08,0,5,0,5,0,0,0,0,2,Hydrocarbon
"2,4-Dimethyl-2,4-pentanediol",132.2,40.5,9,2,7,0,2,4,0,0,Alcohol
1-Heptadecyne,236.4,0,17,0,17,0,0,0,0,1,Hydrocarbon
2-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
Propen-2-ol,58.08,20.2,4,1,3,0,1,1,1,0,Alcohol
"1,2,4,5-Hexatetraene",78.11,0,6,0,6,0,0,0,4,0,Hydrocarbon
"1,3,4-Hexatriene",80.13,0,6,0,6,0,0,0,3,0,Hydrocarbon
5-Methyl-5-nonanol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
1-Nonen-4-ol,142.24,20.2,10,1,9,0,1,1,1,0,Alcohol
7-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
9-Octadecyne,250.5,0,18,0,18,0,0,0,0,1,Hydrocarbon
Tri-t-butylmethane,184.36,0,13,0,13,0,0,7,0,0,Hydrocarbon
7-Methyl-3-octyne,124.22,0,9,0,9,0,0,1,0,1,Hydrocarbon
"2,2,6,6-Tetramethylheptane",156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
3-Methyl-1-hexyne,96.17,0,7,0,7,0,0,1,0,1,Hydrocarbon
6-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
3-Methyl-6-hepten-1-yn-3-ol,124.18,20.2,9,1,8,0,1,2,1,1,Alcohol
6-Methyl-3-heptyne,110.2,0,8,0,8,0,0,1,0,1,Hydrocarbon
4-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"4,5-Dipropyl-4-octene",196.37,0,14,0,14,0,0,2,1,0,Hydrocarbon
5-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
5-Methyl-4-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
3-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
4-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
5-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
2-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon
3-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon
4-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon
3-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
5-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
"2,2,4,4,5-Pentamethylhexane",156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"2,4,6-Trimethyl-4-heptanol",158.28,20.2,11,1,10,0,1,4,0,0,Alcohol
"2,2,7,7-Tetramethyl-3,4-octadiene",166.3,0,12,0,12,0,0,4,2,0,Hydrocarbon
"2,2,5,5-Tetramethylheptane",156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,3,5,5-Tetramethylheptane",156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,3,6,6-Tetramethyloctane",170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"1,1,2,2-Tetra-t-butylethane",254.5,0,18,0,18,0,0,10,0,0,Hydrocarbon
"4,4,6,6-Tetramethylnonane",184.36,0,13,0,13,0,0,4,0,0,Hydrocarbon
"3,5-Dimethyl-3,5-diethylheptane",184.36,0,13,0,13,0,0,4,0,0,Hydrocarbon
"5,5,7,7-Tetramethylundecane",212.41,0,15,0,15,0,0,4,0,0,Hydrocarbon
"4,6-Diethyl-4,6-dimethylnonane",212.41,0,15,0,15,0,0,4,0,0,Hydrocarbon
6-Methyl-6-hepten-4-yn-3-ol,124.18,20.2,9,1,8,0,1,2,1,1,Alcohol
"2,2,5,5,8,8-Hexamethylnona-3,6-diyne",204.35,0,15,0,15,0,0,6,0,2,Hydrocarbon
"1,3-Pentanediol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol
1-Nonacosene,406.8,0,29,0,29,0,0,0,1,0,Hydrocarbon
"1-Decene, polymer with 1-octene",252.5,0,18,0,18,0,0,0,2,0,Hydrocarbon
"2,6,10,14,19,23,27,31-Octamethyldotriacontane",563.1,0,40,0,40,0,0,8,0,0,Hydrocarbon
Triisobutylene,168.32,0,12,0,12,0,0,5,1,0,Hydrocarbon
(R)-2-Isopropyl-5-methylhexanol,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
trans-4-Methyl-2-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"2-Butene-1,4-diol",88.11,40.5,6,2,4,0,2,1,1,0,Alcohol
"2,2-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
4-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon
1-Tricosene,322.6,0,23,0,23,0,0,0,1,0,Hydrocarbon
"3,4-Dimethylpentan-2-ol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
"2,2,3-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,3,5-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2-Isopropylpropane-1,3-diol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"2,3-Dimethylbutan-2-amine",101.19,26,7,1,6,1,0,3,0,0,Amine
"1,3-Hexanediol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
Isohexylamine,101.19,26,7,1,6,1,0,1,0,0,Amine
"meso-2,3-Butanediol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
2-Methyl-1-heptanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
"3,9-Diethyl-6-tridecanol",256.5,20.2,18,1,17,0,1,3,0,0,Alcohol
"(R,R)-2,3-butanediol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
"1,4,7-Heptanetriol",148.2,60.7,10,3,7,0,3,2,0,0,Alcohol
"3-Ethyl-2,4-dimethylpentan-3-ol",144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
Propargylamine,55.08,26,4,1,3,1,0,0,0,1,Amine
"2,6-Dimethyl-5-hepten-1-ol",142.24,20.2,10,1,9,0,1,2,1,0,Alcohol
7-n-Propyltridecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"3-Methyl-1,3-butanediol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
"R-1,2-Propanediol",76.09,40.5,5,2,3,0,2,1,0,0,Alcohol
17-n-Hexadecyltetratriacontane,703.3,0,50,0,50,0,0,1,0,0,Hydrocarbon
2-Methyltricosane,338.7,0,24,0,24,0,0,1,0,0,Hydrocarbon
8-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
7-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon
3-Ethyltetracosane,366.7,0,26,0,26,0,0,1,0,0,Hydrocarbon
7-Hexyltridecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
5-Butylnonane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
"3,3-Dimethyl-1-pentyne",96.17,0,7,0,7,0,0,2,0,1,Hydrocarbon
"1,6-Heptadiyne",92.14,0,7,0,7,0,0,0,0,2,Hydrocarbon
"N,N-Dimethyl neopentylamine",115.22,3.2,8,1,7,1,0,3,0,0,Amine
"N,N-diethylhexadecylamine",297.6,3.2,21,1,20,1,0,1,0,0,Amine
"(2S,3S)-butane-2,3-diol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
Lycopene,536.9,0,40,0,40,0,0,8,13,0,Hydrocarbon
"(S)-butane-1,3-diol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
"3,3-Diethylhexane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,9-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
4-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
3-Methyl-1-heptanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
"2,2,6-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
2-Methyl-1-hepten-3-ol,128.21,20.2,9,1,8,0,1,2,1,0,Alcohol
7-Methyl-3-methylene-6-octen-1-ol,154.25,20.2,11,1,10,0,1,2,2,0,Alcohol
7-Methyl-1-octene,126.24,0,9,0,9,0,0,1,1,0,Hydrocarbon
4-Methyl-1-octene,126.24,0,9,0,9,0,0,1,1,0,Hydrocarbon
2-Methyl-1-decene,154.29,0,11,0,11,0,0,1,1,0,Hydrocarbon
4-Methyl-1-decene,154.29,0,11,0,11,0,0,1,1,0,Hydrocarbon
Ethyl isobutyl amine,101.19,12,7,1,6,1,0,1,0,0,Amine
3-Ethyltridecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
"2,4-Dimethyl-3-isopropylpentane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
3-Methyltritriacontane,478.9,0,34,0,34,0,0,1,0,0,Hydrocarbon
"2,4-Dimethyl-2-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"1,19-Eicosadiene",278.5,0,20,0,20,0,0,0,2,0,Hydrocarbon
2-Methyldocosane,324.6,0,23,0,23,0,0,1,0,0,Hydrocarbon
2-Methyleicosane,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon
2-Methyloctacosane,408.8,0,29,0,29,0,0,1,0,0,Hydrocarbon
3-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
11-Methylheptacosane,394.8,0,28,0,28,0,0,1,0,0,Hydrocarbon
13-Methylheptacosane,394.8,0,28,0,28,0,0,1,0,0,Hydrocarbon
4-Ethyl-5-methylnonane,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"4,5-Diethyloctane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"5,6-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
2-Methyl-1-dodecene,182.35,0,13,0,13,0,0,1,1,0,Hydrocarbon
"2,7-Dimethyl-2,6-octadiene",138.25,0,10,0,10,0,0,2,2,0,Hydrocarbon
"2,4-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,2,3,3,4-Pentamethylpentane",142.28,0,10,0,10,0,0,5,0,0,Hydrocarbon
"2,2,3,4,4-Pentamethylpentane",142.28,0,10,0,10,0,0,5,0,0,Hydrocarbon
"2,7-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,8-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,9-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"3,7-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"3,9-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,7-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
4-Ethyl-4-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
6-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
"2,5-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,6-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,8-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
3-Ethylundecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
"4,4-Dipropylheptane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,3-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"3,4-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"3,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"5,7-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
5-Methyldodecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
"5,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2-Ethyl-3,3-dimethylbut-1-ene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"2,2,4-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
3-Ethyl-2-methyl-2-pentanol,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
5-Ethyl-3-nonanol,172.31,20.2,12,1,11,0,1,2,0,0,Alcohol
"3,4,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,2-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
Dodec-4-ene,168.32,0,12,0,12,0,0,0,1,0,Hydrocarbon
Santolina alcohol,154.25,20.2,11,1,10,0,1,4,2,0,Alcohol
2-Methyl-2-nonene,140.27,0,10,0,10,0,0,1,1,0,Hydrocarbon
"1,15-Hexadecadiene",222.41,0,16,0,16,0,0,0,2,0,Hydrocarbon
1-Undecyn-4-ol,168.28,20.2,12,1,11,0,1,1,0,1,Alcohol
10-Methyl-1-undecene,168.32,0,12,0,12,0,0,1,1,0,Hydrocarbon
"1,2-Nonadiene",124.22,0,9,0,9,0,0,0,2,0,Hydrocarbon
"2,3-Hexanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"2,2-Dimethyl-1-octanol",158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
4-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
4-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon
4-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
"2,4-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"2-Methylhexa-2,4-diene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
"2,3-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
4-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
2-Methyl-1-pentadecene,224.42,0,16,0,16,0,0,1,1,0,Hydrocarbon
"2,3,4-Trimethyl-3-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
"2,6-Dimethyl-6-hepten-2-ol",142.24,20.2,10,1,9,0,1,3,1,0,Alcohol
2-Ethyl-1-pentene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"3,5-Dimethylhex-2-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
2-Ethyl-4-methyl-1-pentene,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
11-Dodecen-1-ol,184.32,20.2,13,1,12,0,1,0,1,0,Alcohol
11-Methylhentriacontane,450.9,0,32,0,32,0,0,1,0,0,Hydrocarbon
2-Methyl-3-hexyne,96.17,0,7,0,7,0,0,1,0,1,Hydrocarbon
"1,2,2-Trimethylpropylamine",101.19,26,7,1,6,1,0,3,0,0,Amine
6-Methyloctan-1-ol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
2-Methyl-n-propyl-1-propanamine,115.22,12,8,1,7,1,0,1,0,0,Amine
"3,3-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
N-Methylisoamylamine,101.19,12,7,1,6,1,0,1,0,0,Amine
N-tert-Butylethylamine,101.19,12,7,1,6,1,0,2,0,0,Amine
"N,N-Dipropyl-1-butanamine",157.3,3.2,11,1,10,1,0,1,0,0,Amine
"3,4-Dimethyl-1,5-hexadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
"2,2,4,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
2-Methyl-1-tetradecene,210.4,0,15,0,15,0,0,1,1,0,Hydrocarbon
4-Ethyl-2-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
4-Ethyl-3-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
3-Ethyl-4-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,2,3-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"2,3,3-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,3-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"4-Ethyl-2,3-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"4-Ethyl-2,4-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,5-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"4-Ethyl-3,3-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3-Ethyl-3,4-dimethylhexane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"2,2,3,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,2,3,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,3,3,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,3,3,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,3,4,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,3,4,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"3,3-Diethyl-2-methylpentane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,2,3-trimethylpentane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"3-Ethyl-2,2,4-trimethylpentane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"3-Ethyl-2,3,4-trimethylpentane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
2-Methyl-3-nonene,140.27,0,10,0,10,0,0,1,1,0,Hydrocarbon
"2,6,10,14-Tetramethyloctadecane",310.6,0,22,0,22,0,0,4,0,0,Hydrocarbon
"2,6-Dimethyl-2-heptene",126.24,0,9,0,9,0,0,2,1,0,Hydrocarbon
"3,3,4-Trimethylpent-1-ene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"3,4,4-Trimethylpent-1-ene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"2,6,10,14-Tetramethyl-2-hexadecene",280.5,0,20,0,20,0,0,4,1,0,Hydrocarbon
"11,15-Dimethylhentriacontane",464.9,0,33,0,33,0,0,2,0,0,Hydrocarbon
"13,17-Dimethylhentriacontane",464.9,0,33,0,33,0,0,2,0,0,Hydrocarbon
13-Methyltritriacontane,478.9,0,34,0,34,0,0,1,0,0,Hydrocarbon
"11,15-Dimethyltritriacontane",492.9,0,35,0,35,0,0,2,0,0,Hydrocarbon
