cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
"1,2-Butadiene",54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon
"2,2-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
2-Methylpentan-2-ol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,2-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
2-Methylhexane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
"1,4-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
"1,2-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
"2,5-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
2-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
1-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"1,5-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
"Hexa-1,4-diene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
3-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"Hexa-1,3-diene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
1-Heptene,98.19,0,7,0,7,0,0,0,1,0,Hydrocarbon
Oct-4-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Octadecane,254.5,0,18,0,18,0,0,0,0,0,Hydrocarbon
Heptacosane,380.7,0,27,0,27,0,0,0,0,0,Hydrocarbon
Vinylamine,43.07,26,3,1,2,1,0,0,1,0,Amine
"2,3,3-Trimethyl-1-butene",98.19,0,7,0,7,0,0,3,1,0,Hydrocarbon
"2,3-Dimethyl-2-butanol",102.17,20.2,7,1,6,0,1,3,0,0,Alcohol
"2,2,3,3-Tetramethylbutane",114.23,0,8,0,8,0,0,4,0,0,Hydrocarbon
"2,3,3-Trimethyl-2-butanol",116.2,20.2,8,1,7,0,1,4,0,0,Alcohol
"2,3-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
3-Ethyl-3-pentanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"3-Methyl-1,2-butadiene",68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon
3-Buten-2-OL,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol
"N,N-Dimethylethylamine",73.14,3.2,5,1,4,1,0,1,0,0,Amine
"1,2-Dimethylpropylamine",87.16,26,6,1,5,1,0,2,0,0,Amine
3-Methyl-2-butanol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
"2,4-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
Galactitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol
3-Ethyl-2-methylpentane,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
4-Methylhexan-3-ol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Penten-3-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
"N,N-Diethylmethylamine",87.16,3.2,6,1,5,1,0,1,0,0,Amine
2-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Ethylpentane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
2-Ethylbutylamine,101.19,26,7,1,6,1,0,1,0,0,Amine
3-Ethylhexane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
"2,2-Diethoxyethanol",134.17,38.7,9,3,6,0,3,1,0,0,Alcohol
Triamylamine,227.43,3.2,16,1,15,1,0,1,0,0,Amine
3-Hexanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
5-Methyl-3-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"1,3-Dimethoxy-2-propanol",120.15,38.7,8,3,5,0,3,1,0,0,Alcohol
5-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
3-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
beta-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"3,3-Dimethyl-1-butanol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,4-Dimethyl-2-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
2-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
2-Methyl-2-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
4-Penten-2-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
N-Methylisobutylamine,87.16,12,6,1,5,1,0,1,0,0,Amine
"2,4-Dimethyl-2-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,4-Pentanediol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
DI-Sec-butylamine,129.24,12,9,1,8,1,0,2,0,0,Amine
4-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
2-Hexanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
1-Pentyne,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon
2-Pentyne,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon
